Latitude[deg],Longitude[deg]
42.27410006336867809295654296875,-8.77406149171292781829833984375
42.27408464066684246063232421875,-8.77407096326351165771484375
42.2740681283175945281982421875,-8.77407758496701717376708984375
42.2740506939589977264404296875,-8.774080686271190643310546875
42.27403334341943264007568359375,-8.7740837037563323974609375
42.27401691488921642303466796875,-8.77408571541309356689453125
42.2739987261593341827392578125,-8.7740872241556644439697265625
42.2739792801439762115478515625,-8.77408496104180812835693359375
42.273958660662174224853515625,-8.77407892607152462005615234375
42.27393753826618194580078125,-8.7740738131105899810791015625
42.27391784079372882843017578125,-8.774066604673862457275390625
42.2739006578922271728515625,-8.774055875837802886962890625
42.27388582192361354827880859375,-8.77404271624982357025146484375
42.27387324906885623931884765625,-8.77403316088020801544189453125
42.2738656215369701385498046875,-8.774030394852161407470703125
42.2738186828792095184326171875,-8.77410314977169036865234375
42.2738129831850528717041015625,-8.7741281278431415557861328125
42.2738046012818813323974609375,-8.77416442148387432098388671875
42.2737948782742023468017578125,-8.77421035431325435638427734375
42.27378540672361850738525390625,-8.7742659263312816619873046875
42.27378020994365215301513671875,-8.77432644367218017578125
42.2737750969827175140380859375,-8.77439291216433048248291015625
42.27377316914498805999755859375,-8.7744647450745105743408203125
42.2737720794975757598876953125,-8.774544037878513336181640625
42.27377166040241718292236328125,-8.774628527462482452392578125
42.27376897819340229034423828125,-8.7747175432741641998291015625
42.27376394905149936676025390625,-8.77481066621840000152587890625
42.27375724352896213531494140625,-8.77490739338099956512451171875
42.27374802343547344207763671875,-8.77500663511455059051513671875
42.273733355104923248291015625,-8.7751081399619579315185546875
42.27371181361377239227294921875,-8.7752107344567775726318359375
42.27368532679975032806396484375,-8.77531274221837520599365234375
42.27365951053798198699951171875,-8.7754159234464168548583984375
42.27362916804850101470947265625,-8.775520361959934234619140625
42.273599915206432342529296875,-8.77562505193054676055908203125
42.273571752011775970458984375,-8.775730915367603302001953125
42.27354551665484905242919921875,-8.775838203728199005126953125
42.273525483906269073486328125,-8.7759480066597461700439453125
42.2735129110515117645263671875,-8.77605822868645191192626953125
42.27351031266152858734130859375,-8.776168115437030792236328125
42.27351014502346515655517578125,-8.77627783454954624176025390625
42.2735119052231311798095703125,-8.77639015205204486846923828125
42.2735135816037654876708984375,-8.77650297246873378753662109375
42.2735152579843997955322265625,-8.77661612816154956817626953125
42.27351911365985870361328125,-8.77672978676855564117431640625
42.273521125316619873046875,-8.7768401764333248138427734375
42.27352305315434932708740234375,-8.776949308812618255615234375
42.2735219635069370269775390625,-8.77705718390643596649169921875
42.27351584471762180328369140625,-8.7771637178957462310791015625
42.27350260131061077117919921875,-8.77727142535150051116943359375
42.27348290383815765380859375,-8.777375109493732452392578125
42.27345348335802555084228515625,-8.77746974118053913116455078125
42.2734119929373264312744140625,-8.7775419093668460845947265625
42.27337771095335483551025390625,-8.77760334871709346771240234375
42.2733509726822376251220703125,-8.77765531651675701141357421875
42.273342423141002655029296875,-8.777704350650310516357421875
42.27337083779275417327880859375,-8.7777410633862018585205078125
42.2734022699296474456787109375,-8.77775908447802066802978515625
42.273437976837158203125,-8.7777702324092388153076171875
42.27347678504884243011474609375,-8.77777777612209320068359375
42.273519448935985565185546875,-8.77778540365397930145263671875
42.27356110699474811553955078125,-8.77779395319521427154541015625
42.273607291281223297119140625,-8.77780057489871978759765625
42.27364920079708099365234375,-8.77780803479254245758056640625
42.2736919485032558441162109375,-8.777814991772174835205078125
42.27373369038105010986328125,-8.77783049829304218292236328125
42.2737714089453220367431640625,-8.777861930429935455322265625
42.2738039307296276092529296875,-8.7779103778302669525146484375
42.27383485995233058929443359375,-8.7779700569808483123779296875
42.27387182414531707763671875,-8.77803401090204715728759765625
42.2739182598888874053955078125,-8.77809938974678516387939453125
42.27396972477436065673828125,-8.77816108055412769317626953125
42.27402764372527599334716796875,-8.7782143056392669677734375
42.2740865685045719146728515625,-8.77825998701155185699462890625
42.27414633147418498992919921875,-8.77829334698617458343505859375
42.27420500479638576507568359375,-8.778315223753452301025390625
42.2742619179189205169677734375,-8.77833274193108081817626953125
42.27431983686983585357666015625,-8.77834632061421871185302734375
42.2743780910968780517578125,-8.778357803821563720703125
42.27443567477166652679443359375,-8.77836115658283233642578125
42.27449367754161357879638671875,-8.77835981547832489013671875
42.274554111063480377197265625,-8.778357468545436859130859375
42.2746085934340953826904296875,-8.7783609889447689056396484375
42.27465896867215633392333984375,-8.778367526829242706298828125
42.27470674552023410797119140625,-8.778374232351779937744140625
42.2747514210641384124755859375,-8.778382949531078338623046875
42.27479391731321811676025390625,-8.77839267253875732421875
42.2748335637152194976806640625,-8.778405748307704925537109375
42.27487052790820598602294921875,-8.7784186564385890960693359375
42.27490573190152645111083984375,-8.77843148075044155120849609375
42.27493808604776859283447265625,-8.778443299233913421630859375
42.2749700210988521575927734375,-8.77845612354576587677001953125
42.27500061504542827606201171875,-8.77847070805728435516357421875
42.2750320471823215484619140625,-8.7784850411117076873779296875
42.275061719119548797607421875,-8.7785013020038604736328125
42.2750910557806491851806640625,-8.7785227596759796142578125
42.27512114681303501129150390625,-8.77854580990970134735107421875
42.2751507349312305450439453125,-8.77857011742889881134033203125
42.27517965249717235565185546875,-8.7785951793193817138671875
42.27521049790084362030029296875,-8.77861998975276947021484375
42.27524201385676860809326171875,-8.7786436267197132110595703125
42.275272943079471588134765625,-8.7786660902202129364013671875
42.2753026150166988372802734375,-8.7786875478923320770263671875
42.27533170022070407867431640625,-8.77871118485927581787109375
42.275359444320201873779296875,-8.7787361629307270050048828125
42.275386266410350799560546875,-8.7787592969834804534912109375
42.27541250176727771759033203125,-8.7787777371704578399658203125
42.275439910590648651123046875,-8.778795339167118072509765625
42.27546581067144870758056640625,-8.7788166292011737823486328125
42.27548458613455295562744140625,-8.77883867360651493072509765625
42.275498919188976287841796875,-8.778863064944744110107421875
42.27551107294857501983642578125,-8.77889089286327362060546875
42.2755207121372222900390625,-8.778921402990818023681640625
42.2755287587642669677734375,-8.77895350567996501922607421875
42.2755356319248676300048828125,-8.7789872847497463226318359375
42.27553957141935825347900390625,-8.7790216505527496337890625
42.27554258890450000762939453125,-8.77905584871768951416015625
42.27554594166576862335205078125,-8.77908728085458278656005859375
42.27554761804640293121337890625,-8.77911913208663463592529296875
42.27555113844573497772216796875,-8.7791512347757816314697265625
42.275553233921527862548828125,-8.77918325364589691162109375
42.275555916130542755126953125,-8.77921535633504390716552734375
42.27555985562503337860107421875,-8.7792464531958103179931640625
42.27556438185274600982666015625,-8.77927654422819614410400390625
42.27556966245174407958984375,-8.77930462360382080078125
42.275576703250408172607421875,-8.77933253534138202667236328125
42.27558466605842113494873046875,-8.7793611176311969757080078125
42.27559086866676807403564453125,-8.77939020283520221710205078125
42.2755959816277027130126953125,-8.779421634972095489501953125
42.275599502027034759521484375,-8.779452480375766754150390625
42.275606207549571990966796875,-8.77948575653135776519775390625
42.27561123669147491455078125,-8.779518865048885345458984375
42.27562020532786846160888671875,-8.7795512191951274871826171875
42.27562841959297657012939453125,-8.77958818338811397552490234375
42.27563965134322643280029296875,-8.779624812304973602294921875
42.27565272711217403411865234375,-8.77966362051665782928466796875
42.27566580288112163543701171875,-8.7797010876238346099853515625
42.27568306960165500640869140625,-8.77973654307425022125244140625
42.2757059521973133087158203125,-8.77976931631565093994140625
42.27573352865874767303466796875,-8.779797144234180450439453125
42.27576269768178462982177734375,-8.77981759607791900634765625
42.27579228579998016357421875,-8.779830671846866607666015625
42.275822125375270843505859375,-8.7798375450074672698974609375
42.27584970183670520782470703125,-8.77984198741614818572998046875
42.2758766077458858489990234375,-8.77984601072967052459716796875
42.27590351365506649017333984375,-8.7798516266047954559326171875
42.27593000046908855438232421875,-8.77985774539411067962646484375
42.27595992386341094970703125,-8.7798610143363475799560546875
42.2759874165058135986328125,-8.7798620201647281646728515625
42.27601549588143825531005859375,-8.77986176870763301849365234375
42.27604516781866550445556640625,-8.77985824830830097198486328125
42.27607249282300472259521484375,-8.77985338680446147918701171875
42.27609713561832904815673828125,-8.7798489443957805633544921875
42.27612278424203395843505859375,-8.77984366379678249359130859375
42.27614541538059711456298828125,-8.7798378802835941314697265625
42.27616687305271625518798828125,-8.77983008511364459991455078125
42.276190258562564849853515625,-8.779820613563060760498046875
42.27621431462466716766357421875,-8.77980887889862060546875
42.27623350918292999267578125,-8.77979152835905551910400390625
42.27625094354152679443359375,-8.77977191470563411712646484375
42.2762675397098064422607421875,-8.7797507084906101226806640625
42.276284806430339813232421875,-8.77972916699945926666259765625
42.27629964239895343780517578125,-8.77970628440380096435546875
42.276314310729503631591796875,-8.779681809246540069580078125
42.27632939815521240234375,-8.779657669365406036376953125
42.2763433121144771575927734375,-8.7796323560178279876708984375
42.276357226073741912841796875,-8.77960545010864734649658203125
42.2763711400330066680908203125,-8.77957711927592754364013671875
42.27638547308743000030517578125,-8.779548369348049163818359375
42.27639821358025074005126953125,-8.7795183621346950531005859375
42.27641061879694461822509765625,-8.7794895283877849578857421875
42.2764234431087970733642578125,-8.7794606946408748626708984375
42.2764365188777446746826171875,-8.7794321961700916290283203125
42.27645185776054859161376953125,-8.77940319478511810302734375
42.276469208300113677978515625,-8.77937234938144683837890625
42.27648655883967876434326171875,-8.7793416716158390045166015625
42.27650600485503673553466796875,-8.7793114967644214630126953125
42.276525534689426422119140625,-8.77928257919847965240478515625
42.27654330432415008544921875,-8.77925433218479156494140625
42.2765615768730640411376953125,-8.77922482788562774658203125
42.27657926268875598907470703125,-8.779193647205829620361328125
42.27660692296922206878662109375,-8.77916573546826839447021484375
42.2766296379268169403076171875,-8.7791364826261997222900390625
42.276656627655029296875,-8.779110498726367950439453125
42.27668412029743194580078125,-8.77908795140683650970458984375
42.2767142951488494873046875,-8.77907018177211284637451171875
42.2767437994480133056640625,-8.779055513441562652587890625
42.27677321992814540863037109375,-8.77904134802520275115966796875
42.2768019698560237884521484375,-8.77902760170400142669677734375
42.27683323435485363006591796875,-8.77901720814406871795654296875
42.276865504682064056396484375,-8.7790095806121826171875
42.2768978588283061981201171875,-8.7790023721754550933837890625
42.2769293747842311859130859375,-8.77899491228163242340087890625
42.276961393654346466064453125,-8.77898477017879486083984375
42.27699383161962032318115234375,-8.77897404134273529052734375
42.27703188546001911163330078125,-8.77896272577345371246337890625
42.2770711965858936309814453125,-8.77895057201385498046875
